DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS
1999-12-22,Orlando Magic,103,Cleveland Cavaliers,97
1999-12-22,Los Angeles Clippers,103,Golden State Warriors,99
1999-12-22,Utah Jazz,72,Miami Heat,74
1999-12-22,Toronto Raptors,90,New York Knicks,91
1999-12-23,Cleveland Cavaliers,90,Atlanta Hawks,108
1999-12-23,Orlando Magic,110,Charlotte Hornets,106
1999-12-23,Washington Wizards,89,Houston Rockets,105
1999-12-23,Sacramento Kings,91,Los Angeles Clippers,97
1999-12-23,Seattle SuperSonics,102,Minnesota Timberwolves,109
1999-12-23,Philadelphia 76ers,94,New Jersey Nets,99
1999-12-23,Dallas Mavericks,111,Phoenix Suns,110
1999-12-23,Golden State Warriors,91,Portland Trail Blazers,111
1999-12-23,Milwaukee Bucks,94,San Antonio Spurs,91
1999-12-23,Denver Nuggets,91,Vancouver Grizzlies,93
1999-12-25,New York Knicks,90,Indiana Pacers,101
1999-12-25,San Antonio Spurs,93,Los Angeles Lakers,99
1999-12-26,Toronto Raptors,98,Cleveland Cavaliers,95
1999-12-26,Vancouver Grizzlies,86,Denver Nuggets,109
1999-12-26,Charlotte Hornets,96,Detroit Pistons,114
1999-12-26,Boston Celtics,100,Los Angeles Clippers,103
1999-12-26,Miami Heat,85,Milwaukee Bucks,93
1999-12-26,Chicago Bulls,76,New Jersey Nets,103
1999-12-26,Golden State Warriors,88,Phoenix Suns,108
1999-12-26,Dallas Mavericks,111,Sacramento Kings,118
1999-12-26,Philadelphia 76ers,92,Seattle SuperSonics,86
1999-12-26,Houston Rockets,92,Washington Wizards,103
1999-12-27,Atlanta Hawks,104,Charlotte Hornets,108
1999-12-27,Indiana Pacers,103,Chicago Bulls,91
1999-12-27,San Antonio Spurs,105,Golden State Warriors,83
1999-12-27,Dallas Mavericks,106,Los Angeles Lakers,108
1999-12-27,Minnesota Timberwolves,107,Orlando Magic,105
1999-12-27,Phoenix Suns,91,Utah Jazz,92
1999-12-27,Philadelphia 76ers,100,Vancouver Grizzlies,93
1999-12-28,Los Angeles Clippers,105,Denver Nuggets,128
1999-12-28,Toronto Raptors,100,Houston Rockets,99
1999-12-28,Minnesota Timberwolves,78,Miami Heat,89
1999-12-28,New York Knicks,83,New Jersey Nets,89
1999-12-28,Seattle SuperSonics,89,Portland Trail Blazers,94
1999-12-28,Boston Celtics,101,Sacramento Kings,114
1999-12-29,Indiana Pacers,116,Atlanta Hawks,89
1999-12-29,Milwaukee Bucks,105,Charlotte Hornets,109
1999-12-29,Detroit Pistons,91,Chicago Bulls,77
1999-12-29,Washington Wizards,94,Cleveland Cavaliers,96
1999-12-29,Philadelphia 76ers,97,Golden State Warriors,94
1999-12-29,Phoenix Suns,87,Los Angeles Lakers,103
1999-12-29,Miami Heat,109,Orlando Magic,106
1999-12-29,Sacramento Kings,113,Seattle SuperSonics,104
1999-12-29,Vancouver Grizzlies,90,Utah Jazz,101
1999-12-30,Toronto Raptors,109,Dallas Mavericks,104
1999-12-30,Boston Celtics,102,Denver Nuggets,94
1999-12-30,Atlanta Hawks,105,Detroit Pistons,106
1999-12-30,Los Angeles Clippers,100,Houston Rockets,122
1999-12-30,Charlotte Hornets,99,Indiana Pacers,109
1999-12-30,Cleveland Cavaliers,90,Milwaukee Bucks,91
1999-12-30,Chicago Bulls,76,Minnesota Timberwolves,94
1999-12-30,Orlando Magic,92,New Jersey Nets,102
1999-12-30,Philadelphia 76ers,90,Portland Trail Blazers,108
1999-12-30,San Antonio Spurs,98,Vancouver Grizzlies,88
1999-12-30,New York Knicks,89,Washington Wizards,86
2000-01-02,Orlando Magic,103,Miami Heat,111
2000-01-03,Cleveland Cavaliers,98,Boston Celtics,105
2000-01-03,Portland Trail Blazers,88,Chicago Bulls,63
2000-01-03,Detroit Pistons,118,Orlando Magic,106
2000-01-03,Milwaukee Bucks,120,Philadelphia 76ers,124
2000-01-03,Denver Nuggets,89,Utah Jazz,109
2000-01-03,Golden State Warriors,87,Washington Wizards,99
2000-01-04,Sacramento Kings,111,Cleveland Cavaliers,107
2000-01-04,Dallas Mavericks,96,Denver Nuggets,98
2000-01-04,Seattle SuperSonics,103,Houston Rockets,96
2000-01-04,New Jersey Nets,111,Indiana Pacers,116
2000-01-04,Los Angeles Lakers,122,Los Angeles Clippers,98
2000-01-04,Vancouver Grizzlies,91,Miami Heat,87
2000-01-04,Atlanta Hawks,113,Milwaukee Bucks,116
2000-01-04,San Antonio Spurs,88,Minnesota Timberwolves,91
2000-01-04,Boston Celtics,88,New York Knicks,96
2000-01-04,Charlotte Hornets,80,Phoenix Suns,86
2000-01-04,Portland Trail Blazers,114,Toronto Raptors,90
2000-01-05,Detroit Pistons,120,Atlanta Hawks,108
2000-01-05,Washington Wizards,66,Chicago Bulls,77
2000-01-05,Los Angeles Clippers,101,Los Angeles Lakers,118
2000-01-05,Vancouver Grizzlies,96,Orlando Magic,116
2000-01-05,Golden State Warriors,92,Philadelphia 76ers,113
2000-01-05,Seattle SuperSonics,99,San Antonio Spurs,96
2000-01-05,Charlotte Hornets,96,Utah Jazz,118
2000-01-06,Golden State Warriors,75,Cleveland Cavaliers,90
2000-01-06,Utah Jazz,105,Dallas Mavericks,92
2000-01-06,Indiana Pacers,102,Denver Nuggets,87
2000-01-06,Milwaukee Bucks,95,Detroit Pistons,101
2000-01-06,Houston Rockets,99,Miami Heat,111
2000-01-06,Portland Trail Blazers,96,Minnesota Timberwolves,98
2000-01-06,Sacramento Kings,89,Toronto Raptors,101
2000-01-07,Toronto Raptors,97,Atlanta Hawks,105
2000-01-07,Sacramento Kings,93,Boston Celtics,101
2000-01-07,Charlotte Hornets,83,Los Angeles Lakers,87
2000-01-07,Vancouver Grizzlies,101,New Jersey Nets,91
